#eta,etabin,lut,func
-31,7,184,185.198
-3,0,185,186.35
-28,6,760,751.354
-28,6,104,105.979
2,0,721,707.831
9,2,263,263.775
20,4,31,31.2032
-3,0,768,750.484
-26,6,175,176.231
-8,1,141,142.916
-29,7,61,62.6824
9,2,263,263.775
2,0,721,707.831
20,4,31,31.2032
-29,7,61,62.6824
-26,6,175,176.231
-3,0,768,750.484
-8,1,141,142.916
7,1,472,471.02
22,5,175,175.597
15,3,173,174.135
9,2,144,144.371
-12,2,540,539.656
-7,1,72,73.7568
-2,0,35,35.3783
9,2,144,144.371
22,5,175,175.597
7,1,472,471.02
15,3,173,174.135
-2,0,35,35.3783
-7,1,72,73.7568
-12,2,540,539.656
12,2,339,340
8,1,269,269.895
28,6,161,162.399
25,6,51,53.2756
25,6,51,53.2756
8,1,269,269.895
12,2,339,340
28,6,161,162.399
-23,5,376,376.423
-33,8,153,159.555
-13,3,22,22.6491
-13,3,22,22.6491
-23,5,376,376.423
-33,8,153,159.555
2,0,33,33.2972
13,3,20,20.5901
-21,5,89,90.7393
13,3,20,20.5901
2,0,33,33.2972
-21,5,89,90.7393
32,7,40,41.3134
21,5,30,30.6936
-25,6,67,69.2583
-11,2,72,73.3711
-9,2,72,73.3711
-25,6,44,46.1722
-20,4,31,31.2032
-14,3,24,24.7081
21,5,30,30.6936
32,7,40,41.3134
-9,2,72,73.3711
-25,6,44,46.1722
-25,6,67,69.2583
-14,3,24,24.7081
-11,2,72,73.3711
-20,4,31,31.2032
6,1,376,376.216
29,7,61,62.6824
4,0,45,45.7837
12,2,22,22.419
-14,3,1214,1150.06
-12,2,981,934.09
-2,0,384,385.062
29,7,61,62.6824
6,1,376,376.216
4,0,45,45.7837
12,2,22,22.419
-2,0,384,385.062
-14,3,1214,1150.06
-12,2,981,934.09
24,5,74,75.7109
-7,1,48,49.1712
24,5,74,75.7109
-7,1,48,49.1712
25,6,400,400.968
27,6,381,382.501
-34,8,95,96.0099
25,6,400,400.968
27,6,381,382.501
-34,8,95,96.0099
6,1,472,471.02
11,2,310,311.071
23,5,159,160.041
25,6,37,39.0688
28,6,36,37.2929
-11,2,712,694.506
-7,1,40,40.976
-7,1,32,32.7808
-16,3,26,26.7672
25,6,37,39.0688
6,1,472,471.02
11,2,310,311.071
23,5,159,160.041
28,6,36,37.2929
-7,1,40,40.976
-7,1,32,32.7808
-11,2,712,694.506
-16,3,26,26.7672
27,6,369,370.548
18,4,265,265.795
18,4,43,43.6845
-19,4,25,24.9626
18,4,265,265.795
18,4,43,43.6845
27,6,369,370.548
-19,4,25,24.9626
11,2,46,46.876
2,0,43,43.7026
-3,0,69,70.7566
2,0,43,43.7026
11,2,46,46.876
-3,0,69,70.7566
3,0,1389,1344.47
19,4,107,108.087
4,0,69,70.7566
-3,0,1013,978.81
-4,0,454,453.938
3,0,1389,1344.47
19,4,107,108.087
4,0,69,70.7566
-3,0,1013,978.81
-4,0,454,453.938
-10,2,821,789.942
-15,3,770,747.293
-4,0,21,20.8108
-10,2,821,789.942
-15,3,770,747.293
-4,0,21,20.8108
25,6,74,74.5859
11,2,36,36.6856
-16,3,22,22.6491
-13,3,16,16.4721
