#eta,etabin,lut,func,funcInt
-2,0,1094,1055.6,1055
28,6,411,411.829,411
15,3,155,156.261,156
1,0,93,94.7678,94
15,3,62,63.8294,63
26,6,30,31.9654,31
7,1,28,28.6832,28
-11,2,181,183.06,183
1,0,93,94.7678,94
26,6,30,31.9654,31
3,0,9,8.32431,8
7,1,28,28.6832,28
15,3,62,63.8294,63
15,3,155,156.261,156
28,6,411,411.829,411
-11,2,181,183.06,183
19,4,21,20.8022,20
-14,3,382,382.809,382
-6,1,232,233.192,233
19,4,21,20.8022,20
-6,1,232,233.192,233
-14,3,382,382.809,382
3,0,1491,1446.62,1446
19,4,523,523.203,523
1,0,520,519.596,519
8,1,390,390.669,390
34,8,156,156.359,156
20,4,108,109.28,109
-2,0,1245,1202.25,1202
-14,3,968,922.771,922
-11,2,130,130.959,130
-1,0,79,81.162,81
1,0,520,519.596,519
34,8,156,156.359,156
3,0,1491,1446.62,1446
19,4,523,523.203,523
8,1,390,390.669,390
20,4,108,109.28,109
-1,0,79,81.162,81
-2,0,1245,1202.25,1202
-14,3,968,922.771,922
-11,2,130,130.959,130
12,2,987,940.092,940
7,1,958,917.253,917
7,1,958,917.253,917
12,2,987,940.092,940
1,0,1394,1349.25,1349
1,0,978,945.839,945
9,2,175,176.724,176
1,0,1394,1349.25,1349
1,0,978,945.839,945
9,2,175,176.724,176
28,6,121,122.067,122
29,7,35,37.0396,37
-29,7,197,198.019,198
-10,2,149,149.863,149
-18,4,41,41.6043,41
29,7,35,37.0396,37
28,6,121,122.067,122
-29,7,197,198.019,198
-10,2,149,149.863,149
-18,4,41,41.6043,41
3,0,125,126.619,126
20,4,43,43.6845,43
13,3,40,41.1802,41
8,1,30,30.732,30
1,0,29,29.1351,29
15,3,10,10.2951,10
-6,1,133,134.01,134
-23,5,92,93.3615,93
-24,5,74,75.7109,75
-15,3,18,18.5311,18
1,0,29,29.1351,29
13,3,40,41.1802,41
3,0,125,126.619,126
15,3,10,10.2951,10
8,1,30,30.732,30
20,4,43,43.6845,43
-6,1,133,134.01,134
-15,3,18,18.5311,18
-23,5,92,93.3615,93
-24,5,74,75.7109,75
4,0,1908,1874.76,1874
13,3,1877,1807.59,1807
18,4,1687,1617.86,1617
16,3,192,192.781,192
25,6,93,94.5118,94
11,2,85,87.6377,87
-12,2,52,52.9902,52
-20,4,41,41.6043,41
-1,0,37,37.4594,37
13,3,1877,1807.59,1807
25,6,93,94.5118,94
18,4,1687,1617.86,1617
11,2,70,71.333,71
11,2,85,87.6377,87
15,3,12,12.3541,12
4,0,1908,1874.76,1874
16,3,192,192.781,192
28,6,60,62.1549,62
-1,0,37,37.4594,37
-12,2,52,52.9902,52
-20,4,41,41.6043,41
3,0,2069,2044.45,2044
4,0,1823,1785.79,1785
1,0,369,370.784,370
-25,6,790,780.228,780
-15,3,206,206.878,206
-3,0,124,125.495,125
-13,3,74,76.1834,76
-19,4,49,49.9252,49
-18,4,1,2.08022,2
1,0,369,370.784,370
3,0,2069,2044.45,2044
4,0,1823,1785.79,1785
-13,3,74,76.1834,76
-25,6,790,780.228,780
-18,4,1,2.08022,2
-3,0,124,125.495,125
-15,3,206,206.878,206
-19,4,49,49.9252,49
3,0,31,31.2162,31
-15,3,36,37.0622,37
3,0,31,31.2162,31
-15,3,36,37.0622,37
1,0,53,54.108,54
-19,4,27,27.0428,27
1,0,53,54.108,54
-19,4,27,27.0428,27
25,6,650,647.547,647
8,1,336,336.168,336
35,8,59,60.3491,60
-11,2,54,55.0283,55
25,6,650,647.547,647
35,8,59,60.3491,60
8,1,336,336.168,336
-11,2,54,55.0283,55
1,0,53,54.108,54
-25,6,211,211.351,211
-11,2,96,97.6904,97
-4,0,29,29.1351,29
-6,1,22,22.5368,22
-19,4,13,12.4813,12
-3,0,13,12.4865,12
1,0,53,54.108,54
-25,6,211,211.351,211
-6,1,22,22.5368,22
-3,0,13,12.4865,12
-11,2,96,97.6904,97
-19,4,13,12.4813,12
-4,0,29,29.1351,29
3,0,86,87.4052,87
-26,6,117,118.397,118
3,0,86,87.4052,87
-26,6,117,118.397,118
21,5,1286,1239.3,1239
12,2,764,740.227,740
-3,0,1521,1476.88,1476
21,5,1286,1239.3,1239
12,2,764,740.227,740
-3,0,1521,1476.88,1476
11,2,216,217.457,217
2,0,147,148.547,148
10,2,48,48.9141,48
32,7,31,32.7658,32
10,2,16,16.3047,16
-3,0,49,49.9458,49
-29,7,24,25.6428,25
-9,2,24,24.457,24
2,0,147,148.547,148
10,2,16,16.3047,16
10,2,48,48.9141,48
11,2,216,217.457,217
32,7,31,32.7658,32
-9,2,24,24.457,24
-29,7,24,25.6428,25
-3,0,49,49.9458,49
24,5,391,391.218,391
23,5,255,256.231,256
2,0,29,29.1351,29
2,0,29,29.1351,29
23,5,255,256.231,256
24,5,391,391.218,391
-3,0,19,18.7297,18
-3,0,19,18.7297,18
20,4,544,544.114,544
16,3,308,309.575,309
25,6,275,275.629,275
32,7,82,84.0514,84
7,1,89,90.1472,90
16,3,56,57.6523,57
-7,1,20,20.488,20
25,6,275,275.629,275
7,1,89,90.1472,90
32,7,82,84.0514,84
16,3,56,57.6523,57
16,3,308,309.575,309
20,4,544,544.114,544
-7,1,20,20.488,20
23,5,252,253.054,253
10,2,44,44.8379,44
1,0,39,39.5405,39
10,2,36,36.6856,36
5,1,14,14.3416,14
-25,6,338,339.005,339
-12,2,123,124.102,124
-6,1,78,79.9032,79
-11,2,34,34.6475,34
1,0,39,39.5405,39
5,1,14,14.3416,14
10,2,44,44.8379,44
10,2,36,36.6856,36
23,5,252,253.054,253
-25,6,338,339.005,339
-6,1,78,79.9032,79
-11,2,34,34.6475,34
-12,2,123,124.102,124
8,1,151,152.763,152
13,3,99,101.177,101
19,4,25,24.9626,24
12,2,16,16.3047,16
-32,7,181,182.349,182
-29,7,123,123.94,123
-10,2,85,87.6377,87
13,3,99,101.177,101
19,4,25,24.9626,24
8,1,151,152.763,152
12,2,16,16.3047,16
-29,7,123,123.94,123
-10,2,85,87.6377,87
-32,7,181,182.349,182
28,6,72,72.81,72
18,4,47,47.8449,47
13,3,34,35.0032,35
-26,6,117,118.397,118
-28,6,100,102.191,102
-37,9,33,34.2893,34
-10,2,42,42.7998,42
-18,4,21,20.8022,20
-8,1,18,18.4392,18
13,3,34,35.0032,35
18,4,47,47.8449,47
28,6,72,72.81,72
-10,2,42,42.7998,42
-18,4,21,20.8022,20
-26,6,117,118.397,118
-8,1,18,18.4392,18
-28,6,100,102.191,102
-37,9,33,34.2893,34
28,6,141,142.485,142
-28,6,760,751.354,751
-18,4,432,431.712,431
-31,7,184,185.198,185
-3,0,185,186.35,186
-28,6,104,105.979,105
28,6,141,142.485,142
-18,4,432,431.712,431
-31,7,184,185.198,185
-3,0,185,186.35,186
-28,6,760,751.354,751
-28,6,104,105.979,105
2,0,721,707.831,707
9,2,263,263.775,263
20,4,31,31.2032,31
-3,0,768,750.484,750
-26,6,175,176.231,176
-8,1,141,142.916,142
-29,7,61,62.6824,62
9,2,263,263.775,263
2,0,721,707.831,707
20,4,31,31.2032,31
-29,7,61,62.6824,62
-26,6,175,176.231,176
-3,0,768,750.484,750
-8,1,141,142.916,142
7,1,472,471.02,471
22,5,175,175.597,175
15,3,173,174.135,174
9,2,144,144.371,144
-12,2,540,539.656,539
-7,1,72,73.7568,73
-2,0,35,35.3783,35
9,2,144,144.371,144
22,5,175,175.597,175
7,1,472,471.02,471
15,3,173,174.135,174
-2,0,35,35.3783,35
-7,1,72,73.7568,73
-12,2,540,539.656,539
12,2,339,340,340
8,1,269,269.895,269
28,6,161,162.399,162
25,6,51,53.2756,53
25,6,51,53.2756,53
8,1,269,269.895,269
12,2,339,340,340
28,6,161,162.399,162
-23,5,376,376.423,376
-33,8,153,159.555,159
-13,3,22,22.6491,22
-13,3,22,22.6491,22
-23,5,376,376.423,376
-33,8,153,159.555,159
2,0,33,33.2972,33
13,3,20,20.5901,20
-21,5,89,90.7393,90
13,3,20,20.5901,20
2,0,33,33.2972,33
-21,5,89,90.7393,90
32,7,40,41.3134,41
21,5,30,30.6936,30
-25,6,67,69.2583,69
-11,2,72,73.3711,73
-9,2,72,73.3711,73
-25,6,44,46.1722,46
-20,4,31,31.2032,31
-14,3,24,24.7081,24
21,5,30,30.6936,30
32,7,40,41.3134,41
-9,2,72,73.3711,73
-25,6,44,46.1722,46
-25,6,67,69.2583,69
-14,3,24,24.7081,24
-11,2,72,73.3711,73
-20,4,31,31.2032,31
6,1,376,376.216,376
29,7,61,62.6824,62
4,0,45,45.7837,45
12,2,22,22.419,22
-14,3,1214,1150.06,1150
-12,2,981,934.09,934
-2,0,384,385.062,385
29,7,61,62.6824,62
6,1,376,376.216,376
4,0,45,45.7837,45
12,2,22,22.419,22
-2,0,384,385.062,385
-14,3,1214,1150.06,1150
-12,2,981,934.09,934
24,5,74,75.7109,75
-7,1,48,49.1712,49
24,5,74,75.7109,75
-7,1,48,49.1712,49
25,6,400,400.968,400
27,6,381,382.501,382
-34,8,95,96.0099,96
25,6,400,400.968,400
27,6,381,382.501,382
-34,8,95,96.0099,96
6,1,472,471.02,471
11,2,310,311.071,311
23,5,159,160.041,160
25,6,37,39.0688,39
28,6,36,37.2929,37
-11,2,712,694.506,694
-7,1,40,40.976,40
-7,1,32,32.7808,32
-16,3,26,26.7672,26
25,6,37,39.0688,39
6,1,472,471.02,471
11,2,310,311.071,311
23,5,159,160.041,160
28,6,36,37.2929,37
-7,1,40,40.976,40
-7,1,32,32.7808,32
-11,2,712,694.506,694
-16,3,26,26.7672,26
27,6,369,370.548,370
18,4,265,265.795,265
18,4,43,43.6845,43
-19,4,25,24.9626,24
18,4,265,265.795,265
18,4,43,43.6845,43
